id,date,categorie_flux,item,quantite,unite,prix_unitaire,montant_total_mga,fournisseur_client,portefeuille_id
1211,2025-10-15,Achat,Cocotte N°2,1.0,Unité,130000.0,130000.0,Aimé (Ambodifara),1
1212,2025-10-15,Achat,Cocotte N°1,1.0,Unité,100000.0,100000.0,Aimé (Ambodifara),1
1213,2025-10-15,Achat,Cafetière 6M,3.0,Unité,30000.0,90000.0,TIA SHOP,1
1214,2025-10-15,Achat,Sotro + fourchette,5.0,Unité,20000.0,100000.0,TIA SHOP,1
1215,2025-10-15,Achat,Coupe avec sous tasse,5.0,Unité,37000.0,185000.0,TIA SHOP,1
1216,2025-10-15,Achat,Saladier Rivina,10.0,Unité,20000.0,200000.0,TIA SHOP,1
1217,2025-10-15,Achat,Bol M.M.,20.0,Unité,6000.0,120000.0,TIA SHOP,1
1218,2025-10-15,Achat,Lily Rivina,5.0,Unité,40000.0,200000.0,TIA SHOP,1
1219,2025-10-15,Achat,Coupe à glace,5.0,Unité,20000.0,100000.0,TIA SHOP,1
1220,2025-10-15,Achat,Carafe,4.0,Unité,25000.0,100000.0,TIA SHOP,1
1221,2025-10-15,Achat,Balance,2.0,Unité,35000.0,70000.0,TIA SHOP,1
1222,2025-10-15,Achat,Verre à jus,5.0,Unité,20000.0,100000.0,TIA SHOP,1
1223,2025-10-15,Achat,Couteau,3.0,Unité,15000.0,45000.0,,1
1224,2025-10-15,Achat,Planche,2.0,Unité,10000.0,20000.0,,1
1225,2025-10-28,Vente,Café,1.0,Tasse,1000.0,1000.0,Client_Direct,1
1226,2025-10-28,Vente,Riz au brède,4.0,Plat,2000.0,8000.0,Client_Direct,1
1227,2025-10-28,Vente,Jus,9.0,Verre,2000.0,18000.0,Client_Direct,1
1228,2025-10-28,Vente,Thé,2.0,Tasse,500.0,1000.0,Client_Direct,1
1229,2025-10-28,Achat,Sel,5.0,Sachet,300.0,1500.0,,1
1230,2025-10-28,Achat,Huile,1.0,Litre,10000.0,10000.0,,1
1231,2025-10-28,Achat,Vinaigre,1.0,Litre,1700.0,1700.0,,1
1232,2025-10-28,Achat,Lait,1.0,Litre,3000.0,3000.0,,1
1233,2025-10-28,Achat,Brède,1.0,Botte,500.0,500.0,,1
1234,2025-10-28,Achat,Riz,1.0,kg,1000.0,1000.0,,1
1235,2025-10-29,Vente,Café,5.0,Tasse,600.0,3000.0,Client_Direct,1
1236,2025-10-29,Vente,Riz au brède,3.0,Plat,2000.0,6000.0,Client_Direct,1
1237,2025-10-29,Vente,Lait,1.0,Tasse,4000.0,4000.0,Client_Direct,1
1238,2025-10-29,Vente,Frite + Poulet,1.0,Plat,11000.0,11000.0,Client_Direct,1
1239,2025-10-29,Achat,Lait,1.0,Litre,3000.0,3000.0,,1
1240,2025-10-30,Vente,Café,1.0,Tasse,500.0,500.0,Client_Direct,1
1241,2025-10-30,Vente,Riz au brède,5.0,Plat,2000.0,10000.0,Client_Direct,1
1242,2025-10-30,Vente,Lait,4.0,Tasse,1000.0,4000.0,Client_Direct,1
1243,2025-10-30,Vente,Thé,5.0,Tasse,1000.0,5000.0,Client_Direct,1
1244,2025-10-30,Vente,Soupe,1.0,Plat,5000.0,5000.0,Client_Direct,1
1245,2025-10-30,Vente,Jus,1.0,Verre,2000.0,2000.0,Client_Direct,1
1246,2025-10-30,Achat,Riz,1.0,kg,2000.0,2000.0,,1
1247,2025-10-30,Achat,Sucre,1.0,kg,5000.0,5000.0,,1
1248,2025-10-30,Achat,Café,1.0,Sachet,3000.0,3000.0,,1
